timestamp(ms),var,
"1718468390.566","1568",
"1718468390.567","2457",
"1718468390.568","1559",
"1718468390.569","3282",
"1718468390.57","3063",
"1718468390.571","2688",
"1718468390.573","2220",
"1718468390.575","1696",
"1718468390.576","1696",
"1718468390.577","1232",
"1718468390.578","1232",
"1718468390.579","837",
"1718468390.58","624",
"1718468390.581","624",
"1718468390.582","610",
"1718468390.583","610",
"1718468390.584","869",
"1718468390.585","869",
"1718468390.586","1253",
"1718468390.587","1808",
"1718468390.588","1808",
"1718468390.589","2351",
"1718468390.59","2351",
"1718468390.592","2803",
"1718468390.593","3165",
"1718468390.594","3165",
"1718468390.595","3344",
"1718468390.596","3344",
"1718468390.597","3287",
"1718468390.598","3287",
"1718468390.599","2566",
"1718468390.6","2566",
"1718468390.601","2000",
"1718468390.603","1462",
"1718468390.604","1462",
"1718468390.605","1020",
"1718468390.606","742",
"1718468390.607","742",
"1718468390.608","652",
"1718468390.609","652",
"1718468390.61","746",
"1718468390.611","746",
"1718468390.613","1043",
"1718468390.614","1470",
"1718468390.615","1470",
"1718468390.616","1997",
"1718468390.617","2495",
"1718468390.618","2495",
"1718468390.619","2939",
"1718468390.62","2939",
"1718468390.621","3216",
"1718468390.623","3300",
"1718468390.625","3300",
"1718468390.626","3173",
"1718468390.627","3173",
"1718468390.628","2852",
"1718468390.63","2375",
"1718468390.631","1826",
"1718468390.633","1294",
"1718468390.634","1294",
"1718468390.635","848",
"1718468390.636","660",
"1718468390.637","660",
"1718468390.638","653",
"1718468390.639","653",
"1718468390.64","839",
"1718468390.641","839",
"1718468390.643","1169",
"1718468390.644","1638",
"1718468390.645","2199",
"1718468390.646","2199",
"1718468390.647","2747",
"1718468390.648","2747",
"1718468390.649","3055",
"1718468390.65","3055",
"1718468390.651","3291",
"1718468390.652","3291",
"1718468390.653","3312",
"1718468390.654","3312",
"1718468390.655","3011",
"1718468390.656","3011",
"1718468390.657","2704",
"1718468390.659","2145",
"1718468390.66","2145",
"1718468390.661","1600",
"1718468390.662","1600",
"1718468390.663","1172",
"1718468390.664","749",
"1718468390.665","749",
"1718468390.666","653",
"1718468390.667","653",
"1718468390.669","685",
"1718468390.671","1379",
"1718468390.673","1861",
"1718468390.674","1861",
"1718468390.675","2375",
"1718468390.676","2375",
"1718468390.677","2896",
"1718468390.678","2896",
"1718468390.679","3187",
"1718468390.68","3187",
"1718468390.681","3282",
"1718468390.682","3282",
"1718468390.683","3257",
"1718468390.684","3257",
"1718468390.685","2957",
"1718468390.686","2957",
"1718468390.687","2452",
"1718468390.688","2452",
"1718468390.689","1920",
