timestamp(ms),var,
"1718468352.144","1930",
"1718468352.145","3344",
"1718468352.146","3053",
"1718468352.147","2811",
"1718468352.148","3186",
"1718468352.149","1520",
"1718468352.15","605",
"1718468352.151","978",
"1718468352.152","976",
"1718468352.153","700",
"1718468352.154","2253",
"1718468352.155","1591",
"1718468352.156","3279",
"1718468352.157","2841",
"1718468352.158","3046",
"1718468352.176","3280",
"1718468352.177","981",
"1718468352.178","2827",
"1718468352.179","2256",
"1718468352.183","3296",
"1718468352.191","1941",
"1718468352.193","2796",
"1718468352.194","3184",
"1718468352.195","1508",
"1718468352.196","2192",
"1718468352.197","626",
"1718468352.198","982",
"1718468352.199","1043",
"1718468352.2","682",
"1718468352.201","2258",
"1718468352.202","1535",
"1718468352.203","2859",
"1718468352.204","2997",
"1718468352.205","3345",
"1718468352.206","1840",
"1718468352.207","2517",
"1718468352.208","789",
"1718468352.209","1204",
"1718468352.21","773",
"1718468352.212","1891",
"1718468352.213","1291",
"1718468352.214","3089",
"1718468352.215","2595",
"1718468352.216","3237",
"1718468352.217","3307",
"1718468352.218","2779",
"1718468352.219","942",
"1718468352.22","1544",
"1718468352.221","698",
"1718468352.222","645",
"1718468352.223","1623",
"1718468352.224","965",
"1718468352.225","2847",
"1718468352.226","2239",
"1718468352.227","3275",
"1718468352.228","3274",
"1718468352.229","2502",
"1718468352.23","3018",
"1718468352.231","1808",
"1718468352.232","589",
"1718468352.233","799",
"1718468352.234","1247",
"1718468352.235","847",
"1718468352.236","2602",
"1718468352.237","1935",
"1718468352.238","3337",
"1718468352.239","3053",
"1718468352.24","2740",
"1718468352.241","3222",
"1718468352.242","1520",
"1718468352.243","2201",
"1718468352.244","934",
"1718468352.245","1019",
"1718468352.246","659",
"1718468352.247","2245",
"1718468352.248","1638",
"1718468352.249","3293",
"1718468352.25","2863",
"1718468352.251","1834",
"1718468352.252","2509",
"1718468352.253","748",
"1718468352.254","1255",
"1718468352.255","823",
"1718468352.256","594",
"1718468352.257","1287",
"1718468352.258","3059",
"1718468352.259","2591",
"1718468352.26","3234",
"1718468352.261","3305",
"1718468352.262","2196",
"1718468352.263","2744",
"1718468352.264","930",
"1718468352.265","1518",
"1718468352.266","707",
"1718468352.267","648",
"1718468352.268","1591",
"1718468352.269","976",
"1718468352.27","2283",
"1718468352.271","3301",
